V1,V2,V4,DP,MT,8m,5,8I,TEO,2,F1,STPc,7A,46d,10,9/46v,9/46d,F5,TEpd,PBr,7m,7B,F2,STPi,PROm,F7,8B,STPr,24c
0,0.000175444752447,0.027389432210654,8.02033154045505E-05,1.50381216383532E-05,2.5063536063922E-05,0,0.004594146160517,0.137626382880602,0,0,5.01270721278441E-06,0.002020121006752,1.50381216383532E-05,0,0.001418596141218,0,7.51906081917661E-06,0,6.01524865534129E-05,0,0,0,2.5063536063922E-05,0,0,0,0.000428586466693,0
0,1.13892622035945E-05,2.27785244071889E-05,5.69463110179723E-05,0,0.00044418122594,0,2.84731555089861E-06,0,0,0,0.052894580989044,2.27785244071889E-05,0.004196943122025,0.0088722352566,0,0.004122912917701,0,0,0,0.000216395981868,0,0,0.284227580237352,8.54194665269584E-06,0.000133823830892,0.000925377554042,0.067800277897998,0.000111045306485
2.67983158747268E-05,0.001450086647888,0.000366243650288,0.013428933843891,0.000914120330393,0.018574210491838,0.007110486478761,0.000577652586633,0,1.19103626109897E-05,0.000306691837233,0.011675132949423,0.078480356834464,0.004293685721262,0,0.001238677711543,0.021581577051113,2.97759065274742E-05,5.95518130549485E-06,5.95518130549485E-06,0,5.95518130549485E-06,0.031693474907844,8.93277195824227E-05,0,0.013414045890627,0.038399009057831,5.95518130549485E-05,0.001649585221622
0,3.9769337840525E-05,0,0,0.001696825081196,0.000185590243256,0.021793597136608,0,0,0.003075495459667,0.000941207662226,0.009889308676344,0.397269172134951,0,0,0.012699675217074,0.00025187247299,0.036627560151124,0,0,0.018625306555313,0,0.002929674554252,7.95386756810499E-05,0.000662822297342,0,0,0.000159077351362,3.9769337840525E-05
0,0,0,0,8.75127987468167E-06,0.000236284556616,0.018762744051318,1.75025597493633E-05,0,0,0.16275630310933,0.000376305034611,0.008339969720572,0,0,0.000253787116366,0.000166274317619,0.041542325565114,0,6.12589591227717E-05,0.007473593012978,5.250767924809E-05,0,0.000446315273609,7.87615188721351E-05,0.024512334928983,0.000140020477995,4.37563993734084E-05,0.031242069152614
0,0,0,0,4.15554193461255E-05,4.15554193461255E-05,0,0,0,0,0,0.227993808242517,0,0.003501044079911,0.023260645978994,0,0.000197388241894,0,0.000145443967711,0.334770458252387,0,0,0,0,0,8.3110838692251E-05,0.000207777096731,0.024954029317348,0.000135055112875
0,0,0,0,0,0,0,0,0,0.027517412413214,6.6280399228938E-05,0,1.65700998072345E-05,1.1046733204823E-05,0,0.018077978889693,0,0.314323746610034,0,0,0,0.001110196687085,1.1046733204823E-05,0,0,0,0,0,0.002463421504676
0,9.02710387939789E-05,0,0,0,0.036909570986888,4.51355193969895E-05,0.003125634718242,4.51355193969895E-05,0,0.000315948635779,0.001839272415427,0.002189072690754,0.00090271038794,0.001489472140101,0.003780099749498,0.025072781025028,0.002031098372865,0,0.00255015684593,0.005619372164925,5.64193992462368E-05,0.098959626277899,0.011633680124574,0.000180542077588,0,0.103766559093679,0.006567218072262,0.093543363950261
0,0,7.72908027809231E-06,0.000104342583754,0,0.049095117926442,0,0.000935218713649,0,0,7.72908027809231E-06,5.41035619466462E-05,0.000888844231981,0.039959345037737,0.131970181208287,0.000146852525284,0.086998527610207,7.72908027809231E-06,0,0.000351673152653,0.002651074535386,0,8.50198830590154E-05,0.014376089317252,0,0.151227184721154,0,0.019137202768557,0.093707369291591
0,5.45617734758851E-06,2.72808867379425E-06,3.81932414331195E-05,1.63685320427655E-05,0.000354651527593,0,4.91055961282966E-05,5.45617734758851E-06,0,1.0912354695177E-05,0.030261323614063,0.000193694295839,0.010104840447734,0.032955311179435,0.000538797513074,0.000102303325267,0,0.000957559124502,0.198558477944767,0,0,1.63685320427655E-05,0.240140005510739,0,5.18336848020908E-05,0.000600179508235,0,0.000272808867379
0,0,0,0,0,2.76916260522818E-05,0.025573216659282,8.30748781568454E-05,0,0.002243021710235,0.011173571112096,0.000152303943288,0.007961342490031,0.000484603455915,0.000152303943288,0.000747673903412,0.005109105006646,0.022125609215773,0,0,0.019522596366859,0.004319893664156,0.049111098803722,4.15374390784227E-05,0.002201484271156,0.080471865307931,0.042866637128932,2.76916260522818E-05,0
